Customer_No,Age_Group,Tenure,DEP_IND,CC_IND,MTG_IND,LOC_IND,DEP_PROF,CC_PROF,MTG_PROF,LOC_PROF,AREA,MOBILE_ACTIVE,PAYROLL_DEPOSIT,CSAT,CX_QUALITY,CUST_ENGAGEMENT,CUST_AFFLUENCE,SEGMENT,CLV_DEPOSITS,CLV_CREDITCARD,CLV_MORTGAGE,CLV_LOC,ACQ_SCORE,EMAILABLE,MAILABLE,MILLENNIAL
1607,51 or higher,21-30 years,1,1,1,1,-451,669,-285,998.45,TORONTO,0,1,100,781-820,3,4,Platinum,"1,702.60",1458.29,63265.875,1747.43,0.17,0,0,0
1608,51 or higher,21-30 years,1,1,0,1,205,1943,0,384.75,TORONTO,1,0,50,741-780,3,4,Platinum,"1,735.85",7369.99,0,-112.34,0.17,1,1,0
1609,31-50,30 years or higher,1,1,0,1,335,-348,0,10991.5,BEACHES,1,1,80,861 or higher,3,4,Platinum,"3,375.80",199.85,0,11985.4,0.18,1,0,0
1610,51 or higher,21-30 years,1,1,0,1,-197,162,0,15527.75,SCARBOROUGH,1,1,88,781-820,3,4,Platinum,"3,185.31",2308.705,0,8402.99,0.18,1,1,0
1611,51 or higher,30 years or higher,0,1,1,1,0,-202,0,1480.1,ETOBICOKE,1,0,0,821-860,2,4,Platinum,0,21.305,27388.84,-112.34,0.15,1,0,0
1612,30 or under,30 years or higher,1,1,1,1,-393,797,-1184,386.65,BEACHES,1,1,,741-780,3,4,Gold,"2,010.30",1690.73,22003.72,-112.34,0.2,1,1,1
1613,31-50,21-30 years,1,0,1,0,-13,0,4484,0,TORONTO,1,1,,701-740,3,4,Gold,"5,193.92",2934.66,23066.295,0,0.2,1,1,1
1614,51 or higher,30 years or higher,1,0,1,1,85,0,-1130,264.1,SCARBOROUGH,1,1,,781-820,3,4,Platinum,"2,247.33",0,10267.83,664.79,0.15,1,0,0
1615,51 or higher,30 years or higher,1,1,0,1,-181,-67,0,8295.4,TORONTO,1,0,63,861 or higher,3,4,Platinum,922.29,40.695,0,7327.125,0.15,1,1,0
1616,51 or higher,21-30 years,1,1,1,1,-163,339,-1042,-653.6,TORONTO,1,1,100,861 or higher,3,4,Platinum,"3,671.09",1708.38,26373.605,-15.6,0.17,1,1,0
1617,51 or higher,21-30 years,1,0,1,1,-274,0,94,457.9,ETOBICOKE,1,1,0,861 or higher,3,3,Platinum,"3,047.81",0,527.425,-112.34,0.16,1,1,0
1618,51 or higher,21-30 years,1,1,1,1,-154,-88,2636,4590.4,TORONTO,1,1,,861 or higher,3,4,Platinum,"3,460.19",432.12,11943.27,4926.72,0.18,1,0,0
1619,51 or higher,30 years or higher,1,1,0,1,6402,1735,0,-459.8,TORONTO,1,1,100,821-860,3,4,Platinum,219.65,8488.465,0,-127.61,0.16,1,1,0
1620,51 or higher,30 years or higher,1,0,1,1,-2,0,657,5330.45,ETOBICOKE,1,0,0,821-860,2,2,Platinum,981.98,0,6706.93,-224.68,0.15,1,0,0
1621,51 or higher,21-30 years,1,1,1,1,664,-321,2554,11574.8,ETOBICOKE,0,0,,861 or higher,2,4,Platinum,"2,294.86",129.575,36104.355,8561.885,0.15,0,0,0
1622,51 or higher,21-30 years,1,0,1,1,-198,0,-4257,-285,TORONTO,1,0,,821-860,3,4,Platinum,341.76,0,37403.595,89.84,0.2,1,0,0
1623,51 or higher,30 years or higher,1,1,0,1,-715,410,0,6190.2,TORONTO,1,0,50,861 or higher,3,3,Platinum,"3,455.20",399.9,0,6529.575,0.17,1,0,0
1624,51 or higher,30 years or higher,1,1,0,1,134,67,0,18081.35,TORONTO,0,1,,821-860,2,4,Platinum,165.56,3726.29,0,8228.62,0.15,0,1,0
1625,51 or higher,21-30 years,1,0,0,1,2768,0,0,17767.85,BEACHES,0,0,,741-780,2,4,Platinum,"3,363.93",0,0,3702.525,0.16,0,1,0
1626,31-50,21-30 years,1,1,1,1,317,574,2210,-984.2,TORONTO,1,1,,821-860,3,4,Platinum,"3,363.93",2104.695,29515.11,1195.07,0.16,1,0,0
1627,51 or higher,21-30 years,1,1,1,0,-86,7047,7366,0,TORONTO,1,0,,781-820,3,4,Platinum,573.16,948.605,84182.685,0,0.17,1,1,0
1628,31-50,30 years or higher,1,1,1,1,199,-30,-309,-586.15,TORONTO,1,0,,861 or higher,2,4,Platinum,"1,304.03",4607.43,45938.345,-179.555,0.16,1,0,0
1629,51 or higher,30 years or higher,1,1,0,1,699,-108,0,-104.5,BEACHES,1,0,0,821-860,2,4,Platinum,"2,956.14",17.935,0,-112.34,0.15,1,1,0
1630,51 or higher,21-30 years,1,1,0,1,652,-239,0,17430.6,BEACHES,1,1,-33,861 or higher,3,4,Platinum,"5,517.52",9.575,0,6281.245,0.16,1,0,0
1631,51 or higher,30 years or higher,1,0,0,0,3392,0,0,0,TORONTO,0,0,,781-820,1,2,Platinum,"3,252.38",0,0,0,0.15,0,0,0
1632,51 or higher,30 years or higher,1,1,1,1,-192,-105,-739,1831.6,NORTH YORK,1,1,100,781-820,3,3,Platinum,"1,988.56",6.54,4175.06,785.2,0.18,1,0,0
1633,31-50,30 years or higher,1,0,1,1,1794,0,7885,4018.5,TORONTO,1,0,,781-820,3,4,Platinum,"2,141.60",24.49,88963.65,3190.93,0.2,1,1,0
1634,31-50,30 years or higher,1,0,1,1,-69,0,2753,-104.5,TORONTO,1,0,,861 or higher,3,4,Platinum,"3,934.26",0,39865.92,-112.34,0.19,1,1,1
1635,31-50,21-30 years,1,0,1,1,-290,0,304,-63.65,BEACHES,1,1,,821-860,3,4,Platinum,"4,226.57",291.51,8646.28,849.805,0.18,1,1,0
1636,51 or higher,30 years or higher,1,1,1,1,59,-188,1966,-1297.7,TORONTO,1,1,-100,861 or higher,3,4,Platinum,"1,424.55",14.79,6976.035,-23.85,0.18,1,1,0
1637,31-50,30 years or higher,1,1,0,1,-42,98,0,12117.25,TORONTO,1,1,,701-740,3,4,Platinum,"6,163.26",319.14,10378.53,9519.125,0.19,1,1,1
1638,51 or higher,21-30 years,1,1,1,1,-174,-131,1776,401.85,ETOBICOKE,1,1,,861 or higher,3,4,Platinum,"3,363.96",80.105,51481.35,-224.68,0.16,1,0,0
1639,51 or higher,30 years or higher,0,0,0,1,0,0,0,-104.5,TORONTO,0,0,,781-820,1,4,Silver,0,0,0,-112.34,0.16,0,1,0
1640,31-50,30 years or higher,1,1,1,1,232,730,-998,-692.55,ETOBICOKE,1,1,,781-820,3,4,Platinum,"2,768.08",3467.13,17031.18,248.775,0.18,1,1,1
1641,51 or higher,21-30 years,1,1,1,1,53,-221,709,-205.2,OAKVILLE,1,1,,821-860,3,3,Platinum,"3,880.50",3355.96,1272.525,-112.34,0.17,1,0,0
1642,51 or higher,21-30 years,1,0,1,1,-92,0,-10,-133,BEACHES,1,1,100,821-860,3,4,Platinum,"2,982.09",0,1848.985,168.38,0.15,1,0,0
1643,51 or higher,30 years or higher,1,1,0,0,-104,1412,0,0,TORONTO,1,0,,821-860,3,3,Platinum,"2,680.64",7888.18,0,0,0.16,1,1,0
1644,51 or higher,30 years or higher,1,1,1,1,-64,-185,363,8485.4,TORONTO,1,0,100,861 or higher,3,4,Platinum,"1,187.10",362.565,2751.215,10079.535,0.14,1,0,0
1645,51 or higher,30 years or higher,1,1,1,1,-25,-84,4887,778.05,TORONTO,1,0,86,781-820,3,4,Platinum,"1,852.55",62.18,44694.66,-112.34,0.15,1,0,0
1646,31-50,21-30 years,1,1,0,1,-136,434,0,995.6,NORTH YORK,1,1,,821-860,3,4,Silver,"2,547.09",283.395,0,-224.68,0.18,1,1,0
1647,51 or higher,21-30 years,0,1,1,1,0,-101,1165,18553.5,TORONTO,0,0,,741-780,2,4,Platinum,0,3.82,19739.07,12097.74,0.15,0,1,0
1648,31-50,21-30 years,1,1,1,1,-160,-290,1787,418.95,SCARBOROUGH,1,1,,821-860,3,4,Platinum,"3,457.08",9444.585,16915.835,-224.68,0.19,1,1,0
1649,30 or under,21-30 years,1,1,1,1,-42,1012,1801,372.4,BEACHES,1,1,,701-740,3,4,Gold,"1,893.19",6322.525,56835.43,-112.34,0.17,1,0,1
1650,31-50,21-30 years,1,1,1,1,-292,993,455,8864.45,ETOBICOKE,1,1,50,741-780,4,4,Platinum,"3,144.83",7571.01,4210.675,3008.495,0.18,1,0,0
1651,51 or higher,21-30 years,1,1,0,1,-178,364,0,391.4,ETOBICOKE,1,1,100,861 or higher,3,4,Platinum,"4,464.58",930.56,0,-112.34,0.17,1,1,0
1652,51 or higher,30 years or higher,1,1,0,0,13977,-673,0,0,TORONTO,1,0,44,861 or higher,3,4,Platinum,"3,859.87",698.005,0,0,0.15,1,1,0
1653,51 or higher,30 years or higher,1,1,0,0,-158,206,0,0,TORONTO,1,0,100,781-820,3,2,Silver,581.34,2041.19,0,0,0.17,1,1,0
1654,51 or higher,21-30 years,1,1,0,1,676,468,0,2067.2,NORTH YORK,1,0,,661-700,3,2,Bronze,816.6,2771.635,0,-224.68,0.19,1,0,0
1655,31-50,21-30 years,1,1,1,1,-133,5042,-1875,4789.9,TORONTO,1,1,100,741-780,3,4,Platinum,968.23,1891.845,52828.635,2973.98,0.17,1,1,1
1656,51 or higher,30 years or higher,1,1,1,1,542,-276,39,-30.4,TORONTO,1,0,,781-820,3,4,Platinum,"3,953.59",19.84,2852.97,720.32,0.19,1,1,0
1657,31-50,21-30 years,1,1,0,1,133,-129,0,1631.15,BEACHES,1,1,,741-780,3,4,Platinum,"3,327.19",451.155,42325.755,-112.34,0.18,1,1,0
1658,51 or higher,21-30 years,1,0,0,1,-941,0,0,283.1,OAKVILLE,1,1,0,741-780,2,3,Gold,"2,910.69",0,0,-224.68,0.17,1,1,0
1659,51 or higher,21-30 years,1,0,1,1,0,0,-229,311.6,BEACHES,1,0,0,701-740,3,4,Gold,"2,042.00",0,57532.595,238.345,0.18,1,1,0
1660,31-50,21-30 years,1,1,0,1,-8,3486,0,1409.8,BEACHES,1,0,,701-740,3,4,Silver,"1,517.35",8980.23,0,-112.34,0.2,1,1,0
1661,51 or higher,21-30 years,1,1,0,1,-18,1652,0,861.65,RICHMOND HILL,1,0,,701-740,2,3,Silver,505.99,5671.455,0,-112.34,0.17,1,0,0
1662,51 or higher,30 years or higher,1,1,0,1,71,1376,0,2966.85,BEACHES,0,0,,821-860,2,4,Platinum,316.88,8197.09,0,11985.4,0.15,0,1,0
1663,31-50,21-30 years,1,0,1,1,6,0,-1815,539.6,TORONTO,1,0,100,701-740,3,3,Silver,600.36,0,11251.695,341.41,0.17,1,0,1
1664,51 or higher,30 years or higher,1,1,1,1,430,699,-168,17038.25,TORONTO,1,0,0,781-820,3,4,Platinum,"1,098.77",156.605,4736.325,11985.4,0.16,1,1,0
1665,51 or higher,30 years or higher,1,0,0,1,355,0,0,-178.6,TORONTO,0,1,100,821-860,3,3,Silver,455.63,0,0,-112.34,0.14,0,1,0
1666,31-50,21-30 years,1,1,0,1,-128,1166,0,225.15,BEACHES,1,0,-100,781-820,3,4,Gold,"1,427.17",8197.09,0,-112.34,0.18,1,1,0
1667,51 or higher,30 years or higher,1,1,1,1,356,2928,3904,933.85,RICHMOND HILL,1,1,-67,661-700,3,4,Platinum,"3,395.28",3642.195,39484.28,-224.68,0.18,1,0,0
1668,31-50,21-30 years,1,0,1,1,-216,0,-436,1088.7,TORONTO,1,1,0,861 or higher,3,4,Platinum,"2,241.62",0,4255.565,2087.605,0.15,1,1,1
1669,51 or higher,21-30 years,1,1,0,0,1074,-129,0,0,ETOBICOKE,0,0,,861 or higher,2,2,Platinum,634.84,25.07,0,0,0.14,0,1,0
1670,51 or higher,21-30 years,1,0,0,1,351,0,0,2220.15,TORONTO,1,1,,781-820,3,4,Platinum,"6,515.67",0,0,2149.23,0.16,1,0,0
1671,31-50,30 years or higher,1,0,0,0,-116,0,0,0,SCARBOROUGH,1,1,0,701-740,3,3,Bronze,"3,389.10",9459.06,6103.635,-112.34,0.17,1,0,1
1672,51 or higher,30 years or higher,1,1,0,1,-143,1081,0,324.9,ETOBICOKE,1,0,,821-860,2,2,Platinum,"1,517.08",7542.46,0,3452.87,0.15,1,1,0
1673,51 or higher,30 years or higher,1,1,1,1,-251,469,1013,969,TORONTO,0,0,100,861 or higher,2,3,Platinum,"2,804.87",187.155,5417.61,2893.49,0.15,0,1,0
1674,51 or higher,30 years or higher,1,1,0,1,350,716,0,144.4,ETOBICOKE,1,1,,821-860,3,4,Platinum,"3,857.00",1416.72,0,840.35,0.16,1,0,0
1675,31-50,30 years or higher,1,1,1,1,-11,191,288,398.05,ETOBICOKE,1,1,-100,861 or higher,3,4,Platinum,"2,857.71",801.61,19625.935,522.23,0.2,1,0,1
1676,31-50,21-30 years,1,1,0,1,-56,-3,0,513,TORONTO,1,1,100,861 or higher,3,4,Platinum,"3,611.85",1125.51,0,-112.34,0.16,1,0,1
1677,31-50,21-30 years,1,1,0,1,-149,-7,0,2850.95,SCARBOROUGH,1,1,,741-780,2,3,Silver,"1,924.74",1146.275,0,-337.02,0.19,1,0,0
1678,51 or higher,21-30 years,1,0,0,1,-81,0,0,1999.75,OAKVILLE,0,1,,781-820,2,2,Platinum,"2,083.90",0,0,1594.955,0.15,0,0,0
1679,51 or higher,30 years or higher,1,1,1,1,-382,-289,274,1726.15,SCARBOROUGH,1,0,50,821-860,3,3,Platinum,41.26,1839.08,9875.565,94.33,0.18,1,1,0
1680,51 or higher,30 years or higher,1,1,1,1,27,486,-499,1510.5,ETOBICOKE,1,1,,781-820,3,4,Platinum,"6,676.86",238.1,6006.835,952.095,0.17,1,1,0
1681,31-50,21-30 years,1,1,1,1,99,1134,3490,-1486.75,SCARBOROUGH,1,1,,741-780,3,3,Gold,562.98,8479.8,25155.68,0,0.21,1,0,1
1682,51 or higher,21-30 years,1,1,1,0,10,545,-1555,0,ETOBICOKE,1,1,,661-700,3,3,Gold,"2,898.31",3327.68,10977.445,0,0.18,1,1,0
1683,51 or higher,30 years or higher,1,0,0,1,4692,0,0,-104.5,ETOBICOKE,1,0,100,861 or higher,3,4,Platinum,505.32,0,0,-112.34,0.14,1,0,0
1684,51 or higher,21-30 years,1,1,0,1,-51,7645,0,625.1,TORONTO,1,0,100,821-860,3,4,Platinum,0,7017.4,0,-224.68,0.17,1,1,0
1685,51 or higher,30 years or higher,1,1,0,1,9338,401,0,-214.7,TORONTO,1,0,-100,821-860,2,4,Gold,"1,325.57",172.265,0,-160.39,0.16,1,1,0
1686,51 or higher,30 years or higher,1,1,1,1,-133,1302,1808,26074.65,BEACHES,1,0,0,701-740,2,4,Silver,510.78,537.36,19430.775,2197.315,0.17,1,0,0
1687,51 or higher,30 years or higher,1,1,0,1,72,-71,0,-600.4,ETOBICOKE,1,0,75,861 or higher,3,4,Platinum,"2,546.49",1000.83,0,2506.78,0.17,1,1,0
1688,51 or higher,21-30 years,1,0,1,1,-186,0,2322,7818.5,TORONTO,1,1,,821-860,3,4,Platinum,"3,687.80",2503.655,56536.33,4894.08,0.19,1,0,0
1689,31-50,30 years or higher,1,1,0,1,148,5023,0,1949.4,NORTH YORK,1,1,100,701-740,3,4,Bronze,"3,099.66",8197.09,0,-224.68,0.19,1,0,1
1690,51 or higher,30 years or higher,1,0,1,1,-298,0,2743,1610.25,TORONTO,1,1,75,821-860,4,4,Silver,"1,190.91",74.36,0,-449.36,0.19,1,0,0
1691,31-50,21-30 years,1,1,0,1,-252,273,0,1492.45,SCARBOROUGH,1,1,50,781-820,3,4,Platinum,"4,625.54",1416.3,0,-112.34,0.19,1,1,0
1692,51 or higher,30 years or higher,1,1,0,0,2434,-45,0,0,SCARBOROUGH,0,1,,821-860,2,2,Platinum,706.49,745.425,0,0,0.14,0,1,0
1693,31-50,21-30 years,1,1,1,1,-166,106,-1673,585.2,ETOBICOKE,0,1,,821-860,3,4,Platinum,"2,524.51",146.485,32762.63,318.005,0.18,0,0,0
1694,51 or higher,30 years or higher,1,0,1,1,-61,0,3242,5829.2,BEACHES,1,1,,861 or higher,3,4,Platinum,"3,101.89",0,8626.405,6094.18,0.16,1,0,0
1695,51 or higher,30 years or higher,1,0,0,1,173,0,0,5737.05,TORONTO,1,0,100,821-860,3,4,Platinum,"2,524.64",0,0,1679.545,0.15,1,1,0
1696,51 or higher,30 years or higher,1,0,0,0,1431,0,0,0,TORONTO,0,0,,781-820,2,3,Platinum,"1,776.48",0,0,0,0.13,0,0,0
1697,51 or higher,21-30 years,1,1,0,1,1679,20491,0,-106.4,TORONTO,1,0,100,661-700,3,3,Gold,"3,190.28",3533.865,0,-112.34,0.18,1,0,0
1698,51 or higher,21-30 years,1,1,0,0,143,4546,0,0,BEACHES,1,0,100,661-700,3,3,Bronze,"2,321.19",2034.485,0,0,0.18,1,0,0
1699,51 or higher,30 years or higher,1,1,0,0,18684,-232,0,0,TORONTO,1,0,,861 or higher,2,4,Platinum,"2,856.06",138.405,0,0,0.15,1,0,0
1700,51 or higher,30 years or higher,1,1,0,1,280,-60,0,-104.5,RICHMOND HILL,1,0,0,861 or higher,3,4,Gold,"1,218.38",124.75,0,-112.34,0.17,1,1,0
1701,51 or higher,21-30 years,1,1,1,1,-90,368,259,-1.9,OAKVILLE,0,0,,861 or higher,2,4,Platinum,327.21,105.33,21822.08,11.465,0.16,0,1,0
1702,31-50,21-30 years,1,1,0,1,285,87,0,842.65,ETOBICOKE,1,1,,821-860,2,4,Platinum,"4,162.60",4353.765,0,-112.34,0.17,1,1,0
1703,31-50,21-30 years,1,1,0,1,2039,376,0,254.6,ETOBICOKE,1,1,,781-820,2,4,Platinum,"1,782.18",567.915,0,512.255,0.17,1,0,1
1704,51 or higher,21-30 years,1,0,1,1,198,0,143,-269.8,TORONTO,1,1,,821-860,3,4,Platinum,"1,093.66",0,34390.895,-224.68,0.15,1,1,0
1705,51 or higher,30 years or higher,1,1,1,1,944,-187,9762,11416.15,ETOBICOKE,1,1,33,821-860,4,4,Gold,"4,435.06",16.015,67257.65,16091.62,0.16,1,1,0
1706,51 or higher,30 years or higher,1,1,1,1,-132,-72,-909,238.45,BEACHES,1,1,100,821-860,4,4,Gold,"2,873.63",70.045,17363.285,-224.68,0.17,1,1,0
1707,51 or higher,30 years or higher,1,1,1,1,718,-231,8388,6248.15,TORONTO,0,1,,861 or higher,3,4,Platinum,16.35,28.99,47468.81,7579.54,0.17,0,1,0
1708,51 or higher,21-30 years,1,1,0,1,26,-184,0,13039.7,TORONTO,0,1,,861 or higher,2,4,Platinum,"2,843.38",2.025,0,10172.27,0.16,0,1,0
1709,31-50,21-30 years,1,1,0,0,2493,-325,0,0,NORTH YORK,1,1,-14,821-860,3,3,Platinum,"2,728.41",62.62,0,0,0.16,1,1,0
1710,51 or higher,30 years or higher,1,0,0,0,4301,0,0,0,TORONTO,0,1,,861 or higher,2,4,Platinum,"2,315.21",0,0,0,0.13,0,0,0
1711,51 or higher,30 years or higher,1,0,1,1,-157,0,4286,-105.45,BEACHES,1,1,-33,701-740,2,4,Gold,322.73,0,65710.265,-112.34,0.16,1,1,0
1712,31-50,21-30 years,1,1,1,1,-44,934,2847,5663.9,ETOBICOKE,1,1,100,661-700,3,4,Gold,"3,908.45",3551.345,23126.265,2606.975,0.2,1,1,1
1713,51 or higher,21-30 years,1,0,1,1,250,0,184,731.5,TORONTO,1,1,,781-820,3,4,Platinum,"3,800.70",0,73436.215,1511.99,0.18,1,0,0
1714,31-50,21-30 years,0,1,0,1,0,-106,0,1968.4,ETOBICOKE,1,0,,781-820,2,3,Silver,0,4.59,0,-112.34,0.15,1,0,1
1715,51 or higher,30 years or higher,1,0,1,1,-263,0,-739,4695.85,ETOBICOKE,1,1,-100,661-700,2,3,Bronze,"1,185.15",0,11697.675,-224.68,0.16,1,1,0
1716,51 or higher,30 years or higher,1,0,0,1,3913,0,0,-291.65,TORONTO,1,0,100,861 or higher,3,4,Platinum,"3,492.59",0,0,-224.68,0.17,1,1,0
1717,51 or higher,30 years or higher,1,1,1,1,3148,1328,9549,19057,BEACHES,1,0,-100,701-740,3,4,Gold,"1,535.64",5909.36,73149.1,4077.13,0.19,1,0,0
1718,51 or higher,21-30 years,1,1,1,1,34,-173,1823,-95.95,ETOBICOKE,1,1,,861 or higher,3,4,Platinum,"1,698.11",1543.8,20703.385,-224.68,0.17,1,0,0
1719,51 or higher,30 years or higher,1,1,0,0,25979,53,0,0,TORONTO,0,0,,821-860,2,4,Platinum,"2,880.11",2355.575,0,0,0.15,0,0,0
1720,31-50,30 years or higher,1,0,0,1,-7,0,0,1317.65,BEACHES,1,1,100,781-820,2,4,Platinum,"3,108.02",0,0,-112.34,0.15,1,1,1
1721,51 or higher,21-30 years,1,1,0,0,3326,-2,0,0,SCARBOROUGH,0,0,,781-820,2,3,Platinum,"1,843.56",93.8,0,0,0.14,0,0,0
1722,51 or higher,21-30 years,1,1,1,1,188,1093,1572,1011.75,SCARBOROUGH,1,1,14,561-660,3,3,Bronze,"2,260.84",4284.23,6028.705,-112.34,0.17,1,0,0
1723,51 or higher,21-30 years,1,1,0,1,-131,-100,0,5188.9,SCARBOROUGH,1,1,,861 or higher,3,4,Platinum,"3,506.42",857.925,0,8805.255,0.17,1,0,0
1724,51 or higher,30 years or higher,1,1,0,1,-55,-90,0,-164.35,TORONTO,1,0,,861 or higher,2,2,Gold,447.22,351.25,0,-112.34,0.15,1,0,0
1725,31-50,30 years or higher,1,1,1,1,-10,1423,-1013,2364.55,TORONTO,1,1,-100,741-780,3,4,Gold,"2,413.37",6327.8,9984.38,-234.56,0.18,1,1,1
1726,51 or higher,30 years or higher,1,0,0,0,-61,0,0,0,TORONTO,1,0,,861 or higher,2,4,Gold,0.03,0,0,0,0.12,1,0,0
1727,51 or higher,30 years or higher,1,0,0,1,10187,0,0,-114,TORONTO,0,0,,781-820,2,3,Gold,744.84,0,0,-112.34,0.13,0,0,0
1728,51 or higher,21-30 years,1,1,1,1,181,302,-806,17.1,BEACHES,1,0,100,861 or higher,3,4,Platinum,"1,562.23",788.905,8215.355,1917.825,0.17,1,1,0
1729,31-50,30 years or higher,1,1,1,1,-33,86,808,-26.6,ETOBICOKE,1,1,100,861 or higher,3,4,Platinum,"4,573.78",2215.765,5275.745,-112.34,0.17,1,1,0
1730,51 or higher,21-30 years,1,0,1,1,-158,0,2651,1406,TORONTO,1,1,67,781-820,3,4,Platinum,"4,760.74",3.87,43523.175,169.18,0.18,1,0,0
1731,51 or higher,30 years or higher,1,0,0,1,370,0,0,3837.05,TORONTO,1,1,50,701-740,3,3,Silver,"3,562.96",0,0,-112.34,0.16,1,1,0
1732,51 or higher,21-30 years,1,0,1,0,317,0,0,0,TORONTO,1,1,,821-860,2,4,Silver,"2,246.41",0,0,0,0.16,1,1,0
1733,51 or higher,21-30 years,1,1,0,0,-92,-102,0,0,TORONTO,1,1,67,821-860,3,3,Gold,"1,688.45",81.36,0,0,0.16,1,0,0
1734,31-50,21-30 years,1,1,1,1,-72,500,987,2021.6,ETOBICOKE,1,0,0,661-700,3,4,Bronze,"2,125.51",2126.285,11433.455,-224.68,0.22,1,1,0
1735,51 or higher,30 years or higher,1,0,0,1,235,0,0,12093.5,TORONTO,1,0,,861 or higher,1,4,Platinum,275.04,0,0,12097.74,0.12,1,0,0
1736,51 or higher,30 years or higher,1,1,1,1,-328,-32,1134,-448.4,TORONTO,1,1,100,861 or higher,3,3,Platinum,4.87,631.96,5470.05,125.54,0.16,1,0,0
1737,51 or higher,30 years or higher,1,1,1,1,-31,257,1133,818.9,SCARBOROUGH,1,1,,861 or higher,3,4,Platinum,"3,401.54",149.39,11680.1,-112.34,0.17,1,0,0
1738,51 or higher,21-30 years,1,1,1,1,916,2860,-1055,4214.2,TORONTO,1,0,100,821-860,3,4,Gold,"2,665.42",15043.08,17045.07,1132.325,0.19,1,1,0
1739,51 or higher,30 years or higher,1,1,0,0,1835,1064,0,0,TORONTO,1,1,0,821-860,3,4,Platinum,"4,190.28",1377.09,0,0,0.17,1,1,0
1740,51 or higher,21-30 years,1,1,0,0,1159,181,0,0,TORONTO,1,1,0,561-660,3,3,Gold,"2,190.92",7.825,0,0,0.18,1,1,0
1741,51 or higher,21-30 years,1,0,1,1,61,0,1207,5219.3,TORONTO,1,1,100,741-780,3,4,Platinum,"4,534.14",0,32733.035,4415.565,0.17,1,1,0
1742,51 or higher,30 years or higher,1,1,1,1,-211,76,-254,-629.85,TORONTO,1,1,100,861 or higher,4,4,Platinum,585.88,4144.405,13970.585,1615.515,0.17,1,1,0
1743,31-50,30 years or higher,1,0,1,1,153,0,-855,-22.8,BEACHES,1,1,,781-820,3,4,Platinum,"3,545.35",0,14637.655,-112.34,0.15,1,0,0
1744,51 or higher,30 years or higher,1,1,1,1,-60,2767,-451,535.8,TORONTO,1,0,-100,701-740,3,4,Gold,"2,696.82",8197.09,4269.42,467.05,0.17,1,0,0
1745,51 or higher,21-30 years,1,1,1,1,847,29,1767,-110.2,TORONTO,0,0,,741-780,2,4,Platinum,"1,079.83",1110.68,28467.86,-152.305,0.17,0,0,0
1746,31-50,21-30 years,1,0,0,1,203,0,0,184.3,TORONTO,0,0,,821-860,2,2,Silver,"1,346.68",0,0,-112.34,0.13,0,0,1
1747,31-50,21-30 years,1,1,1,1,-399,2522,437,-146.3,TORONTO,1,0,67,561-660,3,2,Gold,"1,659.81",3162.925,16922.955,1005.55,0.19,1,1,0
1748,51 or higher,21-30 years,1,0,0,0,240,0,0,0,ETOBICOKE,1,0,,781-820,2,3,Silver,206.43,0,0,0,0.15,1,1,0
1749,51 or higher,21-30 years,1,0,0,1,-153,0,0,22541.6,TORONTO,1,0,,821-860,2,4,Platinum,19.56,0,0,8559.115,0.13,1,1,0
1750,31-50,21-30 years,1,1,1,0,431,379,-554,0,ETOBICOKE,1,0,,701-740,3,4,Platinum,346.86,3061.38,130155.735,0,0.16,1,0,0
1751,51 or higher,30 years or higher,1,1,0,0,1614,-20,0,0,ETOBICOKE,0,0,,781-820,2,4,Gold,642.01,736.085,0,0,0.14,0,1,0
1752,51 or higher,30 years or higher,0,1,0,1,0,1078,0,1008.9,BEACHES,1,0,0,561-660,3,3,Bronze,0,5504.23,0,-112.34,0.19,1,1,0
1753,51 or higher,21-30 years,1,0,0,1,-231,0,0,4120.15,SCARBOROUGH,1,1,0,701-740,3,2,Gold,"3,444.29",0,0,-224.68,0.19,1,0,0
1754,31-50,21-30 years,1,1,0,1,55,177,0,610.85,TORONTO,1,1,,821-860,3,4,Platinum,"6,381.36",1189.515,0,-112.34,0.19,1,0,0
1755,51 or higher,30 years or higher,1,1,1,1,520,4046,-518,1536.15,BEACHES,0,1,29,661-700,3,3,Gold,"3,830.67",10202.125,3438.375,-112.34,0.18,0,1,0
1756,31-50,21-30 years,1,1,1,1,-194,17266,-349,3064.7,BEACHES,1,0,,661-700,2,4,Gold,"2,797.06",8197.09,1149.645,3752.31,0.18,1,1,1
1757,31-50,30 years or higher,1,1,0,1,-76,2307,0,-211.85,TORONTO,1,0,,701-740,3,4,Gold,"2,274.96",5160.145,0,-224.68,0.2,1,0,0
1758,51 or higher,21-30 years,1,1,1,1,238,521,-730,5129.05,TORONTO,1,0,-100,861 or higher,3,4,Platinum,"1,032.83",3669.995,17572.26,7357.27,0.17,1,0,0
1759,31-50,30 years or higher,1,1,1,1,-54,-316,-78,1787.9,ETOBICOKE,1,0,-100,861 or higher,2,4,Platinum,333.55,3450.495,12254.095,-224.68,0.19,1,1,0
1760,51 or higher,30 years or higher,1,1,0,1,-93,2181,0,937.65,ETOBICOKE,0,1,,701-740,2,4,Silver,"3,374.24",4639.115,0,-224.68,0.18,0,1,0
1761,51 or higher,30 years or higher,1,1,0,1,242,4012,0,-29.45,BEACHES,1,0,-100,741-780,3,4,Bronze,"3,841.80",11290.045,0,-112.34,0.16,1,0,0
